,fold_0,fold_1,fold_2,fold_3,fold_4,mean_importance,std_importance
g_rain_st4_7d,14580.452337058261,149116.08912819065,14883.771234362386,18385.48256653524,10020.730600719806,41397.30517337327,53924.91243625
pressure_roll_7d,38857.57960996055,37069.739212847024,38607.93366848689,42553.83339010645,40521.796703408705,39522.176516961925,1869.8749519170644
g_rain_st21_3d,30189.356698475778,39883.81511286646,42719.06869651785,37235.049973404966,36345.59931481979,37274.57795921697,4183.671163215563
built_surface_m2,40772.19318878371,30868.286581648863,33609.6989223719,35605.7427201597,37634.94909292087,35698.17410117701,3382.1547171593775
soil_moisture_0_7cm,33559.95949484175,30625.138043144718,32046.247875811998,40326.27440821951,28804.15910438914,33072.35578528142,3952.628689666393
nama_pos_encoded,30469.275855652522,34349.23379148403,32389.131376619916,33972.52694136603,31530.372063603252,32542.10800574515,1459.82509397551
humidity_pct,45041.95317456126,22445.099068655007,29173.658384949653,29491.440744381398,30045.244351810776,31239.47914487162,7437.726274445476
pressure_roll_3d,26478.157973580994,28086.481685810024,29701.275894663064,29147.24901834037,27717.7985684108,28226.19262816105,1127.6368509426413
g_rain_st0_7d,32998.60437139589,19611.63228395488,30590.51449569594,26816.992099999217,24703.86614185106,26944.321878579398,4663.759182801066
g_eff_rain_st21_3d,22949.710950251174,20490.746689118445,26706.28602263052,30993.117612748872,31461.31041833246,26520.234338616294,4325.711303843385
wind_direction_deg,30113.631969521288,25556.723301079182,27361.659440394258,28785.932652086252,20548.943548434356,26473.378182303066,3326.4870751831136
rmm2,25238.369219517335,27662.319198407466,25615.47475240263,30753.12995639909,21581.160823867656,26170.090790118837,3015.4593643999456
g_rain_st28_7d,18189.940245487727,37033.45556385268,20399.38976072846,30421.359305553488,16323.285204229876,24473.486015970448,7945.275485860627
pressure_roll_24h,21039.382098014787,19415.940840057796,23888.644015029655,23506.508076168655,20783.977160136215,21726.890437881422,1705.4300734554774
mjo_amplitude,22070.908974059857,21509.70327524445,23126.316364595667,20472.860222456977,19147.659066162072,21265.489580503803,1362.6800384039852
pressure_msl_hpa,21528.067296811554,18138.933209157316,20528.104863677814,24069.040809188155,17926.08073976217,20438.0453837194,2279.309958054729
g_eff_rain_st19_3d,19005.65062103141,19101.226973192766,17639.599772881716,23008.016989384778,23419.106220185757,20434.720115335287,2330.732010905856
dew_point_c,19208.43987001665,23255.20163227967,19085.43964333576,16032.254598754691,21949.697285611648,19906.206605999683,2512.3559788768607
g_rain_st21_7d,24439.607407028787,14821.346854452626,18426.851334686507,23404.631602464244,14522.128379390575,19122.913115604548,4165.4662615388925
station_elevation_proxy_hpa,20347.520236104727,18928.53127915677,17871.53654195741,20473.594226652524,16892.275696296245,18902.691596033535,1390.0349203342178
rainfall_roll_3d,16929.409666122403,17051.37946135085,19437.955025583506,20213.46662326716,19956.62296621315,18717.766748507413,1432.87275379609
rainfall_roll_7d,19440.097510002714,15461.596402100287,19969.301211215323,18087.958977945615,20024.481610897463,18596.68714243228,1715.9024313511288
g_rain_st3_7d,19385.165112028248,17978.029409023147,21278.919175832183,18097.74152840115,15559.407316585071,18459.85250837396,1875.0573570699999
g_rain_st8_7d,15435.911683026701,16152.343465511687,20839.614832755644,19987.96248106286,17055.87469550874,17894.341431573128,2137.257341377796
surface_pressure_hpa,18535.74960774008,15932.814804661786,17520.842765141977,20991.473835019133,15854.889113655314,17767.15402524366,1901.010473945545
wind_speed_kmh,20091.21545385648,15557.516642015427,18328.120241337572,17433.0007595669,17306.705003554933,17743.311620066263,1477.7869528479146
g_rain_st17_7d,28933.369440943003,9734.129023883492,18247.818764102645,9907.923242240213,18421.162954432424,17048.880685120355,7057.769466308314
rainfall_max_24h_mm,12575.875437892973,19374.597648132592,17353.88160587568,18084.8908924032,17599.356394495815,16997.72039576005,2318.3189890779768
g_eff_rain_st4_3d,19875.923553178203,9102.957151921466,19050.13270818442,18632.91693230346,17537.068477153778,16839.799764548265,3941.1624130208766
rmm1,13967.779420806211,17701.953982239967,16211.663841612171,16025.6107097161,17699.90448564943,16321.382488004776,1374.4283955746664
g_rain_st19_7d,17333.117213126272,20364.936150306836,15134.614249506965,11003.16900619585,14704.596039898694,15708.086531806923,3091.8953938731743
solar_radiation_mj_m2,16388.977914804243,15481.491666964022,18321.019867459574,15474.267969059641,12130.438641328365,15559.23921192317,2004.287247383771
g_rain_st26_7d,14764.966456944589,11805.99369178107,15789.076779397205,18937.69504257478,16160.505974330008,15491.64758900553,2303.179924929281
spatial_decay,14534.59927499303,13617.598762081936,14919.746019224636,15800.338000321994,15898.053597519174,14954.067130828154,845.0519221076833
g_rain_st25_7d,16450.790160156786,11682.637064846233,18811.878216889687,11389.014462541789,12906.677994976752,14248.19957988225,2906.382586059126
g_rain_st23_7d,13392.383506651968,9009.840622939868,16031.035199329257,16168.590123411268,13453.704436976463,13611.110777861764,2593.878957176832
month,13091.272491805255,12663.431638021022,14302.012292843312,14059.943447757512,13349.872704806272,13493.306515046675,607.6149066367142
decay_short,12781.28416086454,12950.410426162183,14009.416755645536,13211.318640698533,13363.26441625692,13263.138879925542,424.17547880161953
g_eff_rain_st24_3d,10827.3675110396,14112.412907954305,14218.770499173552,11403.94586516777,13014.81057806313,12715.461472279672,1384.6294251731563
rainfall_roll_24h,13276.565921453293,11587.828528497368,14083.527114733122,11797.715931757353,12390.226377680898,12627.172774824407,934.564939879802
g_rain_st7_1d,14319.602946400642,15085.830577626824,11452.925444814842,8157.745977904648,11367.690258067101,12076.759040962812,2463.14719738394
g_rain_st2_3d,12254.041987889446,7266.0513361133635,10700.603119719774,19526.863817528356,9950.98328224942,11939.708708700073,4123.038024918342
g_rain_st9_7d,15747.992301994935,13494.7525107752,10542.543301392347,7340.651918606833,10954.798331384081,11616.147672830679,2845.0367104447546
effective_rain,11543.67277318053,9210.42850998789,10741.339560499415,12430.875889983028,10940.927576426417,10973.448862015455,1059.4736404691541
g_rain_st19_3d,11587.2491735816,8390.643875153735,13149.529862163588,7836.201960437,13895.655241076834,10971.856022482552,2456.1985465122284
g_eff_rain_st2_3d,9403.479495741427,6976.061440531164,8474.438899915665,16795.206720791757,9914.515902511775,10312.740491898358,3391.7690554159662
rainfall_mm,11535.735175950453,8630.780780199915,9027.915470540524,11323.106982640922,9532.081586964428,10009.923999259248,1195.596874778483
g_rain_st19_1d,12720.402978325263,6897.949476032052,11020.152154353913,8151.9092168943025,10978.414148498327,9953.765594820772,2117.8321899165785
g_rain_st20_7d,10941.143580039963,5954.31384771131,8312.331679712981,13519.008353719953,10644.765871126205,9874.312666462083,2562.0971228051408
g_eff_rain_st3_3d,10704.184012364596,7428.768699311186,8533.050195904449,11499.861017031595,10818.916277442127,9796.95604041079,1547.4572656387102
cloud_cover_pct,12055.025197708048,7137.298878977352,10620.818566897186,8965.028537793833,9598.047412562184,9675.24371878772,1643.715338111717
cos_month,9885.593472152948,8855.492010337766,8389.816126148566,11476.311878561042,9068.213790560141,9535.085455552093,1084.6819012330413
g_rain_st2_7d,10829.532760597765,7080.868927688338,9307.523516433588,8750.252327218652,10576.871665056795,9309.009839399028,1356.192291075561
g_rain_st7_7d,8918.720124411397,7279.173792629037,10143.328709321562,9332.216430712491,9120.600878180936,8958.807987051085,937.1742858944416
g_rain_st17_1d,9521.606237750035,9734.194805850275,9769.32381512411,6492.922964446014,8651.178899301216,8833.84534449433,1238.7129439444975
g_eff_rain_st1_3d,8070.537700321642,12499.388723275624,8300.068906161934,8159.8583864457905,6731.881144721061,8752.34697218521,1956.6842413021825
g_rain_st1_2d,10139.039619014598,4991.479860645719,9464.187930787914,8078.988103555515,10673.081419825554,8669.35538676586,2033.8117142861056
g_rain_st12_3d,11931.94841963239,8627.899191678502,6466.357575409114,8374.541917407885,7716.703122034669,8623.490045232513,1815.674774980666
g_rain_st4_3d,6726.176375049166,11680.59069260233,7882.33826597454,6533.363322201185,9335.28654602915,8431.551040371274,1907.1471133633725
g_rain_st11_7d,9419.31725444831,6982.304939812748,8556.141752740368,8199.790129244328,8292.760479455814,8290.062911140314,782.8666151298123
g_rain_st13_1d,9508.172071043402,5112.47179675661,10513.202289570123,6892.163284420967,9275.600530937314,8260.321994545684,1972.0146585354346
g_eff_rain_st12_3d,8146.125228591263,7506.717107103206,9582.452353561297,8043.6908918414265,7988.959393095225,8253.588994838483,699.9042711202625
g_rain_st21_1d,9343.51209717337,6723.245991981588,9919.336293697066,6579.388522558846,6995.563554650638,7912.209292012301,1421.7925911386478
g_rain_st24_3d,8961.948774563149,6004.483203186886,8395.61369224079,6332.258352058008,9750.400423042476,7888.940889018262,1472.9247190092563
g_rain_st23_3d,13619.002757464536,3058.8822447275743,9379.089651232585,4408.860552276485,8237.091568336822,7740.5853548076,3755.1495331097044
g_rain_st6_1d,7779.432167914696,7023.593629948795,8571.568428632338,8173.866483297199,6796.939149487764,7669.079971856158,672.1241961947771
g_rain_st11_1d,9044.035428127274,6666.523555614054,8200.532683778554,7890.064266482368,6483.257632633671,7656.882713327184,962.5309005512512
g_rain_st9_2d,8886.796471137553,6825.019377717748,8666.999006790109,8498.487387299072,5359.844076503068,7647.42926388951,1357.1482951309724
g_rain_st19_2d,9552.042674709111,8017.885000277311,6817.417691119015,7982.87753730081,4635.621884295717,7401.1689575403925,1633.0338301286904
g_rain_st17_2d,8327.846397928894,5825.918074742891,8491.876101052389,6942.557230317965,6577.281595307402,7233.0958798699085,1027.390947983524
g_rain_st0_1d,7601.901512643322,7957.819539317861,6999.5185372475535,7165.875451160595,6266.634008193389,7198.349809712544,574.1656626443269
g_rain_st11_2d,9806.979897027835,6626.274836283177,7357.694639132358,6602.466004613787,5508.6122659780085,7180.405528607033,1439.881382065665
g_rain_st14_7d,10785.20913907187,6291.476579757407,6319.84499170864,7325.271413837443,4532.681548593566,7050.896734593785,2072.338483172968
g_rain_st5_7d,7721.85361922835,5737.062385811936,7443.500309072435,6743.117442303803,6712.456740221474,6871.5980993276,689.7841870154211
g_eff_rain_st17_3d,7856.828712019604,4844.353227904066,9318.74755679816,5087.996919293422,7030.227002305677,6827.630683664186,1689.1223890633669
g_eff_rain_st0_3d,8169.046174116433,7530.757009240799,6120.102535345592,6302.733229373582,5806.567559402436,6785.841301495768,905.9507389858547
g_rain_st6_7d,7943.465439736843,6201.123727568891,6913.29557779571,6644.843347014859,6169.256427295506,6774.396903882362,647.7090918492886
g_rain_st1_1d,8817.936755902134,2819.639835685957,7421.575719356537,7669.912466892973,6662.999854490161,6678.412926465552,2049.5507713176917
g_rain_st3_3d,7425.334970001131,5463.452394014923,7077.08958795201,6506.376173859462,6293.353212893009,6553.121267744107,677.1029971110795
g_rain_st13_2d,7068.163328402676,4253.310525123961,7992.018102414906,5661.9828655608,7341.897947221994,6463.474553744867,1341.7105136521639
landcover_class,6905.815328646451,7002.41850123927,6673.59425669341,6301.177228870947,5286.831952223554,6433.967453534727,622.3746649423617
g_rain_st8_2d,5840.589001234621,7102.418008651584,7039.875522231683,7041.238929757848,4518.835005249828,6308.591293425113,1012.320478177829
g_eff_rain_st13_3d,7143.507929112762,6833.951027922332,7472.928091406822,4928.707160823047,5059.6193252801895,6287.742706909031,1076.1604617466148
g_rain_st26_3d,5383.334946483374,5350.006616011262,6654.231690743007,5171.5352569893,8665.294819999486,6244.880666045286,1320.6895091234892
g_rain_st25_3d,4865.804527051747,4985.48787656099,7034.966165525839,6716.5298643466085,7195.561563126743,6159.669999322386,1020.0097193216225
g_rain_st24_2d,8697.815303092822,5950.321044610813,5766.686332572252,4868.017244379036,5402.335400242358,6137.035064979456,1332.6519097856003
g_rain_st4_1d,6480.410358123481,10469.131526288576,5503.790726592764,5028.550051100552,3180.306814003736,6132.437895221822,2418.96010882324
g_rain_st0_2d,7147.079546499997,4506.02930241311,7500.781652316451,5311.077461375855,6023.384762989823,6097.670545119047,1116.0240977346111
g_rain_st18_7d,5308.767020726576,5942.9456523886765,6085.253919829498,7102.167584229261,4830.817010280676,5853.990237490938,769.8693985992531
g_rain_st3_2d,5383.909037955105,4715.699549864512,6145.89480568748,6185.714554419741,6575.260591605678,5801.295707906504,666.0748726012952
g_rain_st26_2d,5629.340810980648,4430.485966103151,4959.180115161464,7636.508776571602,6294.517922139959,5790.006718191365,1116.1079212972786
g_rain_st5_1d,5844.8412769548595,6024.0193275772035,5869.171437768266,4796.095365539193,6337.338703634217,5774.2932222947475,519.6601374870436
g_rain_st28_1d,6958.209804942831,4072.063846271485,6961.663868099451,5464.745842508972,5367.932997340336,5764.923271832615,1092.6666103330208
g_rain_st28_3d,4979.572441268712,4774.809773382731,7259.252828769386,5426.800418693572,6205.401739846915,5729.167440392263,909.0739726561402
g_rain_st9_1d,5625.095123959705,5609.920129026286,6160.58832646173,4456.401511375327,6764.119474388659,5723.2249130423415,761.8473867955072
g_eff_rain_st5_3d,4919.411109134555,5292.226110697724,6896.9995785290375,7018.048799762502,4390.182471105829,5703.37361384593,1064.069945402072
g_rain_st0_3d,6350.630357899587,6221.3155626273,4742.997766904533,6321.075313088484,4639.776055058464,5655.159011115674,788.7583710037444
g_rain_st8_3d,5593.06425884366,4701.266449412098,5291.020328707993,5708.172552730888,6737.599281284027,5606.224574195733,664.6620548898668
g_rain_st29_3d,5933.263020087965,7294.42680180911,4421.2803492342355,7087.350833503529,3265.85313141346,5600.4348272096595,1551.2562395059722
g_rain_st24_1d,6364.406508130953,5006.790764549747,6186.2510100230575,4968.71759359166,5423.775665327208,5589.988308324525,584.6325472243285
g_rain_st21_2d,6465.912186681293,4735.788185525686,6273.374857666902,5644.351028234698,4736.182584996335,5571.121768620983,734.0405238390146
g_rain_st1_3d,4235.229719844181,5298.670147280209,5152.802825830877,6025.937886338681,6943.73066945374,5531.274249749537,907.3920830196159
g_rain_st11_3d,7390.285367708653,4628.781351361424,5199.056755200028,5661.833091262728,4414.459298193455,5458.883172745258,1060.0851983674347
g_rain_st4_2d,3932.4769933372736,6705.541963303462,5767.011668158957,6116.975326975808,4632.321005121805,5430.865391379461,1009.0968689218803
g_rain_st7_2d,6522.949346876296,5237.225840603933,5649.52166223526,4853.21795848012,4720.756866255775,5396.734334890277,649.624543157957
g_eff_rain_st18_3d,5144.502461198717,5110.899331762921,5235.29170729965,5706.106487713754,5671.560054386966,5373.672008472402,260.7555328895703
g_rain_st18_3d,6450.5665491223335,4485.514918684028,4608.168333048001,5787.78378082905,5237.5513074062765,5313.916977817938,735.7560508391032
g_rain_st29_2d,7187.71725217253,5147.800513599068,4041.3768789321184,4924.59172058478,5060.186382742599,5272.334549606219,1035.8946211121372
g_rain_st28_2d,6370.985805798788,3237.6460638791323,5239.707988671958,6143.412231009221,5280.939095020294,5254.538236875878,1105.01793023177
g_rain_st7_3d,7143.452483613044,3403.3303249608725,5609.126911088824,3386.3988081365824,6245.218983228086,5157.505502205482,1519.540549044922
g_eff_rain_st26_3d,5088.598241651431,4988.08532166481,5637.196895463625,5341.947814509273,4730.419699277729,5157.249594513373,309.830974269557
g_rain_st18_2d,5779.4732948467135,3930.437407163903,5259.24758175388,6181.439162954688,4612.202861666679,5152.560061677173,806.0476809949363
g_rain_st12_1d,5522.9108882546425,4100.134991350817,5978.492189314216,4815.5483910143375,5007.051956109703,5084.827683208743,638.5504275066991
g_rain_st8_1d,6099.617433596402,4653.763383317739,4854.830346316099,5562.289022399113,4239.0851307325065,5081.917063272372,665.0895999876241
g_rain_st29_7d,5445.266611253144,4641.942371734185,4875.720394734293,5397.738646736834,5037.683345557656,5079.670274003222,306.52645673185276
g_rain_st26_1d,4852.455962922424,3763.738364310004,5130.464721621014,5876.226839147508,5761.508656360209,5076.8789088722315,759.6380970634295
g_rain_st2_2d,4792.0288541428745,4197.520004838705,5508.4956001751125,5903.100975785404,4670.850821500644,5014.399251288548,611.3407850820428
g_rain_st18_1d,5958.957488637418,3825.7523808758706,4971.0047293789685,5481.040773011744,4661.078359436244,4979.5667462680485,727.1145956728759
g_rain_st29_1d,3349.1253068502992,4071.764836385846,5134.9670448973775,4197.9527211058885,7860.767924100161,4922.915566667914,1574.9785254721025
g_eff_rain_st11_3d,4633.145959051326,4441.667833883315,4120.9506836384535,5357.441893320531,4767.551705364138,4664.151615051553,409.11382868192237
g_rain_st13_3d,4703.807928049937,5093.877719536424,4814.487766709179,4662.017468856648,3899.6562210088596,4634.769420832209,397.23527082532604
g_rain_st23_2d,4143.5180839616805,4120.51286601834,4595.35553794913,5602.084156746045,3924.2118905242532,4477.13650703989,603.9354698889847
g_rain_st17_3d,3816.963796591386,4300.5218020486645,4915.019282149151,4312.34609899763,4955.027341107838,4459.975664178934,427.27629038079107
g_rain_st2_1d,4529.034707929939,3670.550194080919,4219.149204365909,5910.432995373383,3958.4289494007826,4457.519210230186,779.9108300312054
g_rain_st10_7d,4978.391782333609,3264.5119125656784,5264.400887733325,4352.1922573931515,3369.810652715154,4245.861498548184,814.3514509907557
g_eff_rain_st28_3d,4038.398199737072,3477.9846579311416,4632.133573141124,3598.6889069750905,5139.157686835155,4177.272604923916,628.5173410445241
g_rain_st5_2d,3719.7389060836285,3113.612932689488,4405.12039023079,4729.038985937834,4632.960127484985,4120.094268485345,614.5525272630813
g_eff_rain_st9_3d,5493.149240492843,4104.295181284659,3608.6998045365326,4168.820439323783,3175.812488679774,4110.155430863519,779.8207847960156
g_rain_st14_2d,3772.906342115253,3085.1328645916656,4424.973818765953,4000.9781567417085,5115.1566040893085,4079.8295572607776,675.4061842936582
g_rain_st12_2d,5364.539033098612,3925.771956771612,3400.1716817868873,3917.7915051486343,3282.7224629512057,3978.1993279513904,741.099121825581
g_rain_st9_3d,3868.691957222298,3810.7863477449864,4050.30703795515,3876.997105916962,3728.1541450181976,3866.987318771519,105.9645415705229
g_rain_st20_2d,4528.706264977343,3288.912520369515,3863.721168398857,3355.4353035707027,4164.808588493615,3840.3167691620065,473.04957159394024
g_rain_st20_1d,5116.230012891814,2336.073107343167,4638.0446011656895,3054.095384059474,3584.337465006858,3745.7561140934004,1016.4678230730028
g_eff_rain_st25_3d,3224.2915132250637,2905.2304266416468,4584.52030101174,3878.1172182990704,3456.3723648581654,3609.706364807137,581.4892720086091
g_eff_rain_st23_3d,6137.234779909253,2653.9138383576646,2670.043674785644,2151.5417993189767,4213.565443478525,3565.2599071700124,1460.542191293384
g_rain_st14_3d,3952.8214535112493,3043.541853286326,3302.71108977322,3933.5391133939847,3512.3325855582952,3548.989219104615,354.52299223784854
g_rain_st23_1d,3362.0447080284357,3137.7545672487468,4517.861315289512,3384.457920897752,3189.1217361576855,3518.2480495244263,508.84681068287153
sin_month,4021.9963967874646,2591.817407296039,3287.8642578087747,4426.063394479454,3044.423842990771,3474.4330598725005,663.9506211093257
g_rain_st3_1d,2976.6845931112766,4611.6953944303095,3267.643546886742,3074.3673936761916,3385.2421075738966,3463.126607135683,591.819134587839
g_rain_st25_1d,3488.524822063744,3485.6718835588545,3123.6171551682055,3792.2926511671394,3395.022964321077,3457.0258952558042,214.11320560232514
g_eff_rain_st7_3d,4315.580069887452,2539.611824213527,3273.7908636610955,2676.547635565512,4288.583051733673,3418.822689012252,762.3221259847593
g_rain_st6_2d,4121.882465951145,2048.8450021892786,3902.809302760754,3295.4287348417565,3682.657634408213,3410.324628030229,733.4642207722994
g_eff_rain_st8_3d,3243.1664354018867,3298.3772281184793,2894.7374613657594,3575.804501775652,3786.6613440960646,3359.7493941515686,304.14728313877254
g_eff_rain_st29_3d,2967.8518712595105,3966.7897926792502,2516.499878953211,4586.152690600604,2207.2131831850857,3248.9014833355322,894.8876940984808
g_rain_st14_1d,2802.3098324500024,4073.3279745951295,2810.3577516786754,3013.8589237630367,3072.3645460531698,3154.443805708003,471.85649882740626
g_rain_st5_3d,3060.4394940324128,2924.5479102227837,2880.7150345947593,3093.690332768485,3735.214873804711,3138.9215290846305,308.6738363270395
g_rain_st6_3d,3158.7102001253515,2251.83570015803,2841.6653818301857,3543.402508860454,3584.5579713992774,3076.0343524746595,493.57811808748284
mjo_phase,3521.1628570593894,3193.7834500644167,3115.5386295355856,2803.7711679451168,2646.0917892400175,3056.069578768905,306.77343818149524
g_eff_rain_st14_3d,3617.447554152459,2447.5455195866525,3456.877030549571,2771.549491064623,2870.130932852626,3032.710105641186,437.9246306570808
g_rain_st20_3d,2576.5570243373513,3086.039896512404,2562.2884034160525,2955.458019617945,2993.9603694826365,2834.860742673278,220.89085667587375
decay_long,2820.9443544273963,2484.513872280717,2916.1636405037716,2332.962180474773,2759.2955317553133,2662.775915888394,218.67468369310316
g_rain_st25_2d,2647.1521528698504,2558.97967214277,2582.4015431180596,2735.73525339365,2722.354522075504,2649.3246287199668,71.33833695391614
